东方不败,160,190,52,300,8.00,9.50,2.50,8.00
风清扬,260,284,155,234,12.00,9.30,4.40,9.00
令狐冲,180,180,60,300,8.00,7.90,3.10,12.00
张三丰,280,150,160,500,10.00,4.09,4.09,16.00
张无忌,200,88,104,270,10.00,4.40,5.20,10.00
小昭,410,64,165,100,13.00,3.90,6.10,7.00
萧峰,240,102,92,420,11.00,5.08,4.08,15.00
虚竹,160,96,82,480,8.00,4.50,4.07,12.00
段誉,140,80,120,450,7.00,3.05,5.79,11.00
天山童姥,10,10,10,0,10.00,7.07,2.29,21.00
无崖子,500,200,180,680,8.00,4.06,2.50,8.00
李秋水,200,136,50,360,10.00,6.75,2.50,10.00
郭靖,240,118,76,300,12.00,5.90,3.80,10.00
黄蓉,80,30,10,50,22.00,5.10,5.30,8.00
郭襄,280,100,95,390,12.00,4.10,6.38,12.00
杨过,180,150,80,360,10.00,7.05,4.00,12.00
小龙女,180,100,120,360,0.00,0.00,0.00,0.00
黄衫女子,258,165,108,198,0.00,0.00,0.00,0.00
独孤求败,285,300,105,310,10.00,9.70,4.30,11.00
神雕,380,120,100,300,14.00,6.49,4.20,7.00
洪七公,200,116,76,300,10.00,5.75,3.75,10.00
欧阳锋,200,128,64,300,10.00,6.36,3.14,10.00
黄药师,200,120,72,300,10.00,6.00,3.60,10.00
一灯,300,120,70,200,12.00,6.10,3.50,8.00
周伯通,180,118,70,330,9.00,5.86,3.50,11.00
王重阳,300,118,70,380,7.00,6.29,3.76,12.00
林朝英,195,59,128,466,0.00,0.00,0.00,0.00
石破天,280,100,100,380,11.00,2.10,2.20,17.00
袁承志,203,130,67,290,8.00,7.90,2.30,8.70
楚留香,280,150,160,305,10.80,7.20,6.89,9.00
陆小凤,305,265,195,225,11.30,7.70,7.50,7.00
叶孤城,300,200,125,213,11.00,8.80,5.20,9.00
西门吹雪,199,299,99,199,9.00,9.50,3.59,6.00
邀月,300,200,1,360,8.00,9.08,0.00,15.00
上官金虹,160,180,70,300,10.00,8.58,3.67,8.00
萧十一郎,188,240,80,80,0.00,0.00,0.00,0.00
白发魔女,240,240,155,180,11.00,8.30,5.70,7.00
一航,300,240,120,180,10.90,9.10,3.00,7.00
谢晓峰,300,180,150,350,10.00,9.20,3.20,12.00
荆无命,360,280,60,0,9.00,6.78,1.09,0.00
阿飞,195,150,54,0,12.00,7.09,2.09,0.00
傅红雪,180,132,42,150,9.00,6.50,2.06,7.00
燕南天,1,1,1,1,9.00,4.27,2.77,13.00
花无缺,100,60,95,150,5.00,3.06,5.76,9.00
小鱼儿,120,90,70,60,9.00,5.90,3.00,5.00
苏樱,110,30,150,60,9.00,3.08,5.46,5.00
铁心兰,80,75,105,80,8.00,3.83,5.08,7.00
怜星,150,200,1,180,6.00,6.06,0.00,11.00
花满楼,95,95,95,95,6.00,6.00,6.00,6.00
司空摘星,195,70,95,95,8.00,3.47,4.47,5.00
郭芙,200,125,100,125,7.00,4.19,3.56,7.00
裘千仞,135,84,46,105,9.00,5.56,3.06,7.00
李莫愁,120,88,51,75,8.00,5.88,3.35,5.00
金轮法王,135,84,36,105,9.00,5.56,2.38,7.00
慕容复,120,66,57,90,8.00,4.33,3.75,6.00
宋远桥,150,100,110,150,7.00,4.35,3.88,7.00
紫衫龙王,120,110,110,150,7.00,4.29,4.29,7.00
白眉鹰王,120,79,42,90,8.00,5.29,2.76,6.00
金毛狮王,135,93,30,105,9.00,6.19,2.00,7.00
青翼蝠王,120,63,54,90,8.00,4.18,3.59,6.00
杨逍,160,80,90,100,8.00,5.09,3.09,7.00
范遥,120,88,40,115,8.00,6.06,2.06,8.00
成昆,150,75,95,150,7.00,4.76,3.29,7.00
何足道,110,80,54,120,7.00,4.17,3.56,7.00
周芷若,120,112,62,210,7.00,5.50,3.09,9.00
赵敏,120,100,80,100,9.00,5.06,4.18,7.00
灭绝师太,150,105,30,180,6.00,6.28,1.80,9.00
觉远,100,1,100,120,8.00,0.00,6.50,9.00
渡厄,130,28,90,100,9.00,2.06,5.59,7.00
渡难,150,21,100,120,9.00,1.69,6.06,7.00
渡劫,140,48,80,100,9.00,3.18,4.06,7.00
任我行,135,84,39,120,8.00,5.60,2.29,8.00
任盈盈,120,90,90,100,8.00,4.79,4.79,8.00
岳不群,135,85,34,90,9.00,5.70,2.30,6.00
岳灵珊,110,90,90,90,7.00,3.90,3.60,6.00
左冷禅,150,75,46,90,10.00,5.00,3.06,6.00
仪琳,180,50,110,80,8.00,3.06,4.19,6.00
蓝凤凰,145,95,55,95,7.00,4.64,3.27,6.00
段延庆,120,72,49,105,8.00,4.76,3.29,7.00
段正淳,105,69,52,90,7.00,4.54,3.46,6.00
枯荣,300,180,150,410,6.00,4.06,2.06,6.00
阿朱,265,40,150,65,9.00,3.30,4.10,5.00
阿紫,145,125,75,75,7.00,4.40,2.90,7.00
丁春秋,120,84,42,135,7.00,5.59,2.76,8.00
游坦之,135,69,48,190,6.00,4.55,3.09,10.00
鸠摩智,120,73,60,120,8.00,4.88,3.76,8.00
韦小宝,280,52,90,0,18.00,0.50,6.00,0.00
胡斐,120,72,49,90,8.00,4.79,3.29,6.00
血刀老祖,120,75,46,90,8.00,5.00,3.08,6.00
金蛇郎君,160,92,82,170,8.00,4.50,4.06,8.00
张三,160,92,62,220,6.00,4.08,4.08,7.00
李四,180,112,42,200,7.00,6.06,2.06,6.00
向问天,80,60,18,80,7.00,5.00,1.79,6.00
杨康,80,59,20,80,7.00,4.89,2.00,6.00
